Bird.ID,Species,Species.Scientific,Nest.Type.Specific,Nest.Type,Sex,Family,Assay,Vocalizations,Songs,Hovers,Flyovers,Dives,Pecks,Attacks,Physical.Contact,Attack.Rate,Chase,Tail-flicks,Wing Waves,Copulation Attempts,Distance (raw/epochs),Mount.Sex
29,Barn Swallow,Hirundo_rustica,Open,Open,F,Hirundinidae,2,7,0,0,0,0,0,1,1,0.016666667,2,0,0,0,4.866666667,F
22,Barn Swallow,Hirundo_rustica,Open,Open,F,Hirundinidae,3,2,0,0,0,0,0,0,0,0,1,0,0,0,2,M
23,Barn Swallow,Hirundo_rustica,Open,Open,F,Hirundinidae,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,M
24,Barn Swallow,Hirundo_rustica,Open,Open,F,Hirundinidae,6,0,0,0,6,0,0,0,0,0,1,0,0,0,2.54,F
25,Barn Swallow,Hirundo_rustica,Open,Open,F,Hirundinidae,7,2,0,0,1,0,0,0,0,0,0,0,0,0,3.9,M
20,Barn Swallow,Hirundo_rustica,Open,Open,F,Hirundinidae,8,1,0,0,15,0,0,0,0,0,0,0,0,0,8.772727273,F
26,Barn Swallow,Hirundo_rustica,Open,Open,F,Hirundinidae,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1.633333333,F
27,Barn Swallow,Hirundo_rustica,Open,Open,F,Hirundinidae,11,5,0,0,12,0,0,0,0,0,0,0,0,0,2.868421053,M
28,Barn Swallow,Hirundo_rustica,Open,Open,F,Hirundinidae,12,0,0,0,32,0,0,0,0,0,0,0,0,0,16.53333333,M
30,Barn Swallow,Hirundo_rustica,Open,Open,M,Hirundinidae,1,11,0,3,8,0,0,0,0,0,0,0,0,0,1.166666667,M
40,Barn Swallow,Hirundo_rustica,Open,Open,M,Hirundinidae,2,4,2,0,0,0,0,1,1,0.016666667,2,0,0,0,5.016666667,F
31,Barn Swallow,Hirundo_rustica,Open,Open,M,Hirundinidae,3,6,0,1,2,0,0,0,0,0,0,0,0,0,1.916666667,M
32,Barn Swallow,Hirundo_rustica,Open,Open,M,Hirundinidae,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,F
33,Barn Swallow,Hirundo_rustica,Open,Open,M,Hirundinidae,5,1,0,0,13,0,0,0,0,0,1,0,0,0,7.933333333,M
34,Barn Swallow,Hirundo_rustica,Open,Open,M,Hirundinidae,6,4,7,4,20,0,0,0,0,0,1,0,0,0,1.18,F
35,Barn Swallow,Hirundo_rustica,Open,Open,M,Hirundinidae,7,1,0,0,1,0,0,0,0,0,0,0,0,0,3.9,M
36,Barn Swallow,Hirundo_rustica,Open,Open,M,Hirundinidae,8,6,3,1,24,0,0,0,0,0,0,0,0,0,8.272727273,F
